"source","target"
0,1056
1,431
1,754
1,1019
2,721
3,661
3,1073
4,428
5,88
5,182
6,488
6,767
6,1017
7,26
7,260
7,261
7,262
7,386
7,449
7,450
7,532
7,567
7,663
7,667
7,693
7,785
7,817
7,929
7,1114
7,1118
7,1139
7,1154
7,1176
8,57
8,59
8,111
8,177
8,178
8,327
8,334
8,530
8,571
8,572
8,573
8,574
8,600
8,724
8,755
8,905
8,1004
8,1025
8,1071
8,1102
8,1116
8,1128
8,1158
8,1184
8,1185
8,1208
8,1209
8,1210
8,1213
9,202
9,203
9,613
9,953
9,1163
10,47
10,48
10,113
10,595
10,709
10,1013
10,1169
10,1232
11,172
11,200
11,240
11,263
11,280
11,361
11,384
11,485
11,629
11,670
11,758
11,859
11,861
11,1167
11,1182
11,1183
11,1254
11,1256
12,14
12,160
12,628
12,684
12,1165
12,1172
13,67
13,390
13,520
13,643
13,655
13,686
13,878
13,1015
13,1203
14,628
14,684
14,1165
14,1172
15,932
15,1036
16,805
16,845
17,130
18,436
18,438
18,737
18,1236
19,151
19,424
19,782
20,21
20,81
20,106
20,209
20,216
20,217
20,249
20,322
20,441
20,766
20,793
20,1050
20,1230
20,1259
21,81
21,106
21,209
21,216
21,217
21,249
21,322
21,441
21,766
21,793
21,1050
21,1230
21,1259
22,720
22,721
22,792
22,794
22,959
22,1089
22,1092
22,1195
23,24
23,186
23,259
23,326
23,432
23,433
23,438
23,658
23,665
23,748
23,756
23,827
23,862
23,951
23,983
23,1014
23,1098
23,1155
23,1179
23,1255
24,186
24,259
24,326
24,432
24,433
24,438
24,658
24,665
24,748
24,756
24,827
24,862
24,951
24,983
24,1014
24,1098
24,1155
24,1179
24,1255
25,698
25,750
25,1233
26,260
26,261
26,262
26,386
26,449
26,450
26,532
26,567
26,663
26,667
26,693
26,785
26,817
26,929
26,1114
26,1118
26,1139
26,1154
26,1176
27,173
27,174
27,267
27,370
27,587
27,653
27,760
27,863
27,1020
27,1113
27,1117
27,1140
27,1258
28,201
28,372
28,631
28,654
28,879
28,1081
29,269
29,593
29,683
30,279
30,533
30,630
30,723
30,864
