"label","hh_id","age","gender","hh_size","NetworkSize","loc_home","loc_work","loc_school","loc_kindergarden","loc_transport","loc_leisure","loc_grandparents","loc_other","loc_missing","pers_touch","tot_touch","tot_dur","dur_home","dur_work","dur_school","dur_kindergarden","dur_transport","dur_leisure","dur_grandparents","dur_other","dur_missings","id","OutDegree","InDegree","totDegree","OutCloseness","InCloseness","totCloseness","betweenness","constraints"
"10002090","10002090",40,"0",3,3,3,0,0,0,0,0,0,0,0,3,3,11,11,0,0,0,0,0,0,0,0,0,3,2,5,0.04,0.00757575757575758,0.05,4,0.378979591836735
"1000209000001","10002090",40,"1",3,6,4,0,0,0,0,2,0,0,0,6,6,22,16,0,0,0,0,6,0,0,0,1,6,2,8,0.0555555555555556,0.00757575757575758,0.0555555555555556,13,0.234132653061224
"1000209000002","10002090",8,"1",3,6,4,0,0,0,0,0,4,0,0,6,6,17,15,0,0,0,0,0,8,0,0,2,6,1,7,0.0555555555555556,0.0075187969924812,0.0555555555555556,8,0.245102040816326
"10002570","10002570",40,"1",4,5,2,2,0,0,1,0,0,0,0,2,2,24,9,10,0,0,5,0,0,0,0,3,5,2,7,0.0133333333333333,0.000641025641025641,0.0133333333333333,4,0.293480613348246
"1000257000001","10002570",37,"0",4,8,0,8,0,0,0,0,0,0,0,8,8,25,0,25,0,0,0,0,0,0,0,4,8,3,11,0.000757575757575758,0.000657894736842105,0.0144927536231884,24,0.11138213823029
"1000257000002","10002570",17,"1",4,22,3,0,19,0,0,0,0,0,0,11,11,82,14,0,68,0,0,0,0,0,0,5,22,2,24,0.0172413793103448,0.000641025641025641,0.0172413793103448,38,0.0588778902028153
"1000257000003","10002570",12,"0",4,11,3,0,8,0,0,0,0,0,0,3,3,54,14,0,40,0,0,0,0,0,0,6,11,2,13,0.0144927536231884,0.000641025641025641,0.0144927536231884,16,0.130526517826718
"10002738","10002738",36,"1",4,14,3,10,0,0,2,1,0,0,0,3,3,83,13,66,0,0,8,4,0,0,0,7,14,3,17,0.0078125,0.000204123290467442,0.0078125,33,0.0961975443704241
"1000273800001","10002738",37,"0",4,11,3,6,1,0,0,1,0,1,0,4,8,98,13,63,10,0,0,4,0,12,0,8,11,3,14,0.00763358778625954,0.000204123290467442,0.00763358778625954,24,0.124075169803899
"1000273800002","10002738",7,"0",4,28,3,0,16,0,3,0,0,10,0,18,33,243,13,0,155,0,13,0,0,80,0,9,28,3,31,0.0087719298245614,0.000204123290467442,0.0087719298245614,75,0.0445553285687579
"1000273800003","10002738",4,"1",4,27,3,0,25,0,3,0,0,0,0,19,35,179,13,0,171,0,13,0,0,0,0,10,27,3,30,0.00869565217391304,0.000204123290467442,0.00869565217391304,72,0.0464183593904396
"10002760","10002760",31,"1",4,18,4,9,0,0,4,1,0,0,0,17,47,164,23,84,0,0,45,12,0,0,0,11,18,3,21,0.00543478260869565,0.0001000100010001,0.00543478260869565,45,0.0680760105406969
"1000276000001","10002760",35,"0",4,31,4,5,0,0,0,11,0,1,10,19,38,182,19,25,0,0,0,100,0,1,0,12,31,3,34,0.00584795321637427,0.0001000100010001,0.00584795321637427,84,0.0377887770003323
"1000276000002","10002760",10,"1",4,30,3,0,24,0,0,0,3,0,0,28,31,152,15,0,121,0,0,0,16,0,0,13,30,3,33,0.00581395348837209,0.0001000100010001,0.00581395348837209,81,0.0391656617633639
