Id,Label,timeset,person1,person2,touch,frequency,duration,loc_home,loc_work,loc_school,loc_kindergarden,loc_transport,loc_leisure,loc_grandparents,loc_other,loc_missing,betweenhhmembers,household,weight,sourcerole,targetrole,relation,modularity_class
0,,,2006344100003,2006344100001,1,1,5,1,0,0,0,1,0,0,1,0,1,20063441,1,child,mother,M-C,6
1,,,2003448600001,2003448600002,1,1,5,1,0,0,0,0,0,0,0,0,1,20034486,1,father,child,F-C,0
2,,,2006023500003,2006023500002,1,1,5,1,0,0,0,0,0,0,0,0,1,20060235,1,child,child,siblings,0
3,,,143220600001,143220600003,1,1,5,1,0,0,0,1,1,0,1,0,1,1432206,1,father,child,F-C,2
4,,,5461565,546156500002,1,1,5,1,0,0,0,1,1,0,0,0,1,5461565,1,mother,child,M-C,2
5,,,2006262100001,2006262100003,1,1,5,1,0,0,0,0,0,0,0,0,1,20062621,1,father,child,F-C,0
6,,,2005979200002,2005979200001,1,1,5,1,0,0,0,1,0,1,1,0,1,20059792,1,child,mother,M-C,8
7,,,2006260500004,20062605,1,1,5,1,0,0,0,0,0,0,0,0,1,20062605,1,child,father,F-C,0
8,,,2005783500001,2005783500002,1,1,5,1,0,0,0,0,1,0,0,0,1,20057835,1,father,child,F-C,2
9,,,1432206,143220600002,1,1,5,1,0,0,0,1,1,0,1,0,1,1432206,1,mother,child,M-C,2
10,,,18014700001,180147,1,1,5,1,0,0,0,0,0,0,0,0,1,180147,1,mother,father,M-F,0
11,,,2003349200004,2003349200002,1,1,3,1,0,0,0,0,0,0,0,0,1,20033492,0.8,child,child,siblings,7
12,,,2006882500004,2006882500002,1,1,5,1,0,0,0,1,0,0,1,0,1,20068825,1,child,child,siblings,6
13,,,120537,12053700002,0,1,4,1,0,0,0,0,0,0,0,0,1,120537,0.4,mother,child,M-C,7
14,,,2007377200001,2007377200002,1,1,5,1,0,0,0,0,0,0,0,0,1,20073772,1,father,child,F-C,0
15,,,2009163500003,2009163500002,1,1,4,1,0,0,0,0,0,0,0,0,1,20091635,0.9,child,child,siblings,4
16,,,2007301700001,2007301700002,1,1,5,1,0,0,0,1,1,0,0,0,1,20073017,1,mother,child,M-C,2
17,,,1000273800001,1000273800002,1,1,4,1,0,0,0,0,1,0,0,0,1,10002738,0.9,mother,child,M-C,2
18,,,2006241200003,2006241200001,1,1,5,1,0,0,0,0,0,0,1,0,1,20062412,1,child,father,F-C,6
19,,,2006592700001,20065927,1,1,5,1,0,0,0,0,0,0,0,0,1,20065927,1,father,mother,M-F,0
20,,,20073754,2007375400003,1,1,5,1,0,0,0,1,0,0,1,0,1,20073754,1,father,child,F-C,6
21,,,5347805,534780500004,1,1,5,1,0,0,0,0,0,0,0,0,1,5347805,1,father,child,F-C,0
22,,,11973000001,11973000003,1,1,4,1,0,0,0,0,0,0,0,0,1,119730,0.9,father,child,F-C,4
23,,,2006212000003,2006212000002,0,1,5,1,0,0,0,0,0,0,0,0,1,20062120,0.5,child,child,siblings,7
24,,,2005895100002,2005895100001,1,1,4,1,0,0,0,0,0,0,0,0,1,20058951,0.9,child,father,F-C,4
25,,,2008415000002,2008415000004,1,1,2,1,0,0,0,0,0,0,0,0,1,20084150,0.7,child,child,siblings,7
26,,,2007301700002,2007301700001,1,1,5,1,0,0,0,1,0,0,0,0,1,20073017,1,child,mother,M-C,6
27,,,4172139,417213900001,1,1,5,1,0,0,0,0,0,0,0,0,1,4172139,1,father,child,F-C,0
28,,,965486900005,965486900002,0,1,2,1,0,0,0,0,0,0,0,0,1,9654869,0.2,child,child,siblings,7
29,,,31875200003,318752,1,1,5,1,0,0,0,0,0,0,0,0,1,318752,1,child,mother,M-C,0
30,,,20056042,2005604200001,1,1,5,1,0,0,0,0,0,0,0,0,1,20056042,1,mother,father,M-F,0
31,,,20086527,2008652700001,1,1,5,1,0,0,0,0,0,0,0,0,1,20086527,1,father,mother,M-F,0
32,,,2003330600001,2003330600002,0,1,5,1,0,0,0,0,0,0,0,0,1,20033306,0.5,child,child,siblings,7
33,,,2006490200004,20064902,1,1,5,1,0,1,0,1,0,0,0,0,1,20064902,1,child,father,F-C,3
34,,,72354300001,72354300003,1,1,4,1,0,0,0,0,0,0,0,0,1,723543,0.9,mother,child,M-C,4
35,,,1000276000002,1000276000001,1,1,5,1,0,0,0,0,0,0,0,0,1,10002760,1,child,mother,M-C,0
36,,,2005854300005,2005854300004,1,1,5,1,0,0,0,0,0,0,0,0,1,20058543,1,child,child,siblings,0
37,,,20071795,2007179500003,1,1,5,1,0,0,0,1,1,0,0,0,1,20071795,1,father,child,F-C,2
38,,,2008926300002,2008926300003,1,1,4,1,0,0,0,0,0,0,0,0,1,20089263,0.9,child,child,siblings,4
39,,,2005979200003,2005979200001,1,1,5,1,0,0,0,1,0,1,1,0,1,20059792,1,child,mother,M-C,8
40,,,2007111800003,20071118,1,1,5,0,0,0,0,0,0,0,1,0,1,20071118,1,child,mother,M-C,6
41,,,2003361400001,2003361400003,1,1,5,1,0,0,0,1,1,0,0,0,1,20033614,1,mother,child,M-C,2
42,,,2006376900001,20063769,1,1,5,1,0,0,0,0,0,0,0,0,1,20063769,1,mother,father,M-F,0
43,,,2005643500002,2005643500001,1,1,5,1,0,0,0,0,0,0,0,0,1,20056435,1,child,father,F-C,0
44,,,756602200001,756602200003,1,1,5,0,0,0,0,0,0,0,1,0,1,7566022,1,mother,child,M-C,6
45,,,2009245800001,20092458,1,1,4,1,0,0,0,0,0,0,0,0,1,20092458,0.9,mother,father,M-F,4
46,,,2005604200002,2005604200001,1,1,5,1,0,0,0,0,0,0,0,0,1,20056042,1,child,father,F-C,0
47,,,225566900001,2255669,1,1,5,1,0,0,0,0,0,0,0,0,1,2255669,1,mother,father,M-F,0
48,,,405795100001,405795100002,1,1,5,1,0,0,0,0,0,0,0,0,1,4057951,1,father,child,F-C,0
49,,,2006341300002,20063413,1,1,4,1,0,0,0,0,0,0,0,0,1,20063413,0.9,child,mother,M-C,4
50,,,2005642400001,20056424,1,1,5,1,0,0,0,0,0,0,0,0,1,20056424,1,father,mother,M-F,0
51,,,14973300003,149733,1,1,5,1,0,0,0,0,0,0,0,0,1,149733,1,child,mother,M-C,0
52,,,2008788800002,2008788800003,1,1,5,1,0,0,0,0,0,0,0,0,1,20087888,1,child,child,siblings,0
