Id,Label,timeset,touch,frequency,duration,loc_home,loc_work,loc_school,loc_kindergarden,loc_transport,loc_leisure,loc_grandparents,loc_other,loc_missing,betweenhhmembers,weight,person1,person2,household,sourcerole,targetrole,relation,modularity_class
0,,,1,1,5,1,0,0,0,1,0,0,1,0,1,1,2006344100003,2006344100001,20063441,child,mother,M-C,1
1,,,1,1,5,1,0,0,0,0,0,0,0,0,1,1,2003448600001,2003448600002,20034486,father,child,F-C,1
2,,,1,1,5,1,0,0,0,0,0,0,0,0,1,1,2006023500003,2006023500002,20060235,child,child,siblings,1
3,,,1,1,5,1,0,0,0,1,1,0,1,0,1,1,143220600001,143220600003,1432206,father,child,F-C,0
4,,,1,1,5,1,0,0,0,1,1,0,0,0,1,1,5461565,546156500002,5461565,mother,child,M-C,1
5,,,1,1,5,1,0,0,0,0,0,0,0,0,1,1,2006262100001,2006262100003,20062621,father,child,F-C,1
6,,,1,1,5,1,0,0,0,1,0,1,1,0,1,1,2005979200002,2005979200001,20059792,child,mother,M-C,0
7,,,1,1,5,1,0,0,0,0,0,0,0,0,1,1,2006260500004,20062605,20062605,child,father,F-C,1
8,,,1,1,5,1,0,0,0,0,1,0,0,0,1,1,2005783500001,2005783500002,20057835,father,child,F-C,1
9,,,1,1,5,1,0,0,0,1,1,0,1,0,1,1,1432206,143220600002,1432206,mother,child,M-C,0
10,,,1,1,5,1,0,0,0,0,0,0,0,0,1,1,18014700001,180147,180147,mother,father,M-F,1
11,,,1,1,3,1,0,0,0,0,0,0,0,0,1,0.8,2003349200004,2003349200002,20033492,child,child,siblings,1
12,,,1,1,5,1,0,0,0,1,0,0,1,0,1,1,2006882500004,2006882500002,20068825,child,child,siblings,1
13,,,0,1,4,1,0,0,0,0,0,0,0,0,1,0.4,120537,12053700002,120537,mother,child,M-C,1
14,,,1,1,5,1,0,0,0,0,0,0,0,0,1,1,2007377200001,2007377200002,20073772,father,child,F-C,1
15,,,1,1,4,1,0,0,0,0,0,0,0,0,1,0.9,2009163500003,2009163500002,20091635,child,child,siblings,1
16,,,1,1,5,1,0,0,0,1,1,0,0,0,1,1,2007301700001,2007301700002,20073017,mother,child,M-C,1
17,,,1,1,4,1,0,0,0,0,1,0,0,0,1,0.9,1000273800001,1000273800002,10002738,mother,child,M-C,1
18,,,1,1,5,1,0,0,0,0,0,0,1,0,1,1,2006241200003,2006241200001,20062412,child,father,F-C,1
19,,,1,1,5,1,0,0,0,0,0,0,0,0,1,1,2006592700001,20065927,20065927,father,mother,M-F,1
20,,,1,1,5,1,0,0,0,1,0,0,1,0,1,1,20073754,2007375400003,20073754,father,child,F-C,1
21,,,1,1,5,1,0,0,0,0,0,0,0,0,1,1,5347805,534780500004,5347805,father,child,F-C,1
