Id,Label,timeset,person1,person2,touch,frequency,duration,loc_home,loc_work,loc_school,loc_kindergarden,loc_transport,loc_leisure,loc_grandparents,loc_other,loc_missing,betweenhhmembers,household,weight,modularity_class
0,,,2006229700003,3018574912432,0,4,3,1,0,0,0,0,0,0,0,0,0,20062297,0.3,1
1,,,2008709900002,2008709900003,0,1,4,1,0,0,0,0,0,0,0,0,1,20087099,0.4,0
2,,,2009262400003,3018574915497,1,2,5,0,0,0,0,0,0,1,0,0,0,20092624,1,6
3,,,15461000003,3018574904356,0,1,2,0,0,0,1,0,0,0,0,0,0,154610,0.2,12
4,,,2005623300001,3018574910111,0,4,3,1,0,0,0,0,0,0,0,0,0,20056233,0.3,1
5,,,203852200002,203852200001,1,1,5,1,0,0,0,0,0,0,0,0,1,2038522,1,10
6,,,200566160002,2005661600001,1,1,5,1,0,0,0,0,0,0,0,0,1,20056616,1,10
7,,,20056985,3018574902095,1,2,1,0,1,0,0,0,0,0,0,0,0,20056985,0.6,11
8,,,555998000003,5559980,1,1,4,1,0,0,0,0,0,1,0,0,1,5559980,0.9,6
9,,,2005928200003,2005928200002,1,1,4,1,0,1,0,0,0,0,0,0,1,20059282,0.9,3
10,,,247079800002,3018574906100,0,1,3,0,0,1,0,0,0,0,0,0,0,2470798,0.3,8
11,,,287468900005,3018574906237,0,2,2,1,0,0,0,0,0,0,0,0,0,2874689,0.2,1
12,,,287468900003,3018574906202,1,2,3,0,0,0,0,0,0,1,0,0,0,2874689,0.8,6
13,,,1000286100004,3018574908165,1,2,1,0,0,1,0,0,0,0,0,0,0,10002861,0.6,8
14,,,2003516900002,3018574909124,0,5,2,0,0,0,0,0,0,0,1,0,0,20035169,0.2,1
15,,,3018551400001,3018574915829,0,2,4,0,0,0,0,0,0,0,1,0,0,30185514,0,1
16,,,479300002,3018574903990,0,2,4,0,0,1,0,0,0,0,0,0,0,4793,0.4,7
17,,,2006290200001,3018574912722,0,1,4,0,0,1,0,0,0,0,0,0,0,20062902,0.4,7
18,,,2006960800002,2006960800001,1,1,5,1,0,0,0,0,0,0,0,0,1,20069608,1,10
19,,,654020900001,3018574907072,1,5,1,0,0,0,0,0,1,0,0,0,0,6540209,0.6,2
20,,,7583935,3018574900943,0,5,1,0,0,0,0,0,0,0,1,0,0,7583935,0.1,5
21,,,437215200002,3018574906510,1,2,5,0,0,0,1,0,0,0,0,0,0,4372152,1,12
22,,,20057590,3018574902200,1,3,3,0,1,0,0,0,0,0,0,0,0,20057590,0.8,11
23,,,2874689,3018574900659,0,1,2,0,1,0,0,0,0,0,0,0,0,2874689,0.2,9
24,,,349122800002,3018574906339,1,1,4,0,0,1,0,0,0,0,0,0,0,3491228,0.9,12
25,,,287468900002,3018574906174,0,2,2,0,0,0,0,0,1,0,0,0,0,2874689,0.2,2
26,,,2008695400003,3018574914786,0,4,1,0,0,0,0,0,0,0,1,0,0,20086954,0.1,4
27,,,3018545600004,30185456,1,1,5,1,0,0,0,0,0,0,0,0,1,30185456,1,10
28,,,2005979200002,3018574911870,1,3,4,0,0,0,0,0,0,1,0,0,0,20059792,0.9,6
29,,,2008967600003,3018574915025,1,2,2,0,0,1,0,0,0,0,0,0,0,20089676,0.7,8
30,,,2005793300002,2005793300001,0,1,5,1,0,0,0,0,0,0,0,0,1,20057933,0,0
31,,,225566900002,3018574905899,0,2,5,0,0,1,0,0,0,0,0,0,0,2255669,0.5,7
32,,,2005979200002,3018574911857,0,3,4,0,0,0,0,0,0,1,0,0,0,20059792,0.4,6
33,,,2006882500004,3018574914015,1,5,5,0,0,0,0,0,0,0,1,0,0,20068825,1,14
34,,,2005701500002,3018574910579,0,1,4,0,0,1,0,0,0,0,0,0,0,20057015,0.4,7
35,,,2003332500003,3018574908310,0,5,3,0,0,0,0,0,1,0,0,0,0,20033325,0.3,2
36,,,2008709900004,3018574914855,0,1,3,0,0,1,0,0,0,0,0,0,0,20087099,0.3,8
37,,,2003743000002,2003743000003,1,1,5,1,0,0,0,1,0,1,0,0,1,20037430,1,6
38,,,2007375400001,2007375400003,1,1,5,1,0,0,0,1,0,0,1,0,1,20073754,1,6
39,,,555998000001,3018574906743,1,2,2,0,0,0,0,0,0,0,1,0,0,5559980,0.7,14
40,,,965486900004,3018574907759,0,5,2,0,0,0,0,0,0,0,1,0,0,9654869,0.2,1
41,,,595763200002,3018574906912,0,1,5,0,0,1,0,0,0,0,0,0,0,5957632,0.5,7
42,,,2006367100002,2006367100004,1,1,5,1,0,0,0,1,0,0,1,0,1,20063671,1,6
43,,,20089990,3018574903756,0,5,4,0,1,0,0,0,0,0,0,0,0,20089990,0.4,9
44,,,2006341300003,3018574912951,0,1,3,0,0,0,0,1,0,0,0,0,0,20063413,0.3,6
45,,,2006023500003,3018574911976,0,2,5,0,0,1,0,0,0,0,0,0,0,20060235,0.5,7
46,,,143220600003,3018574905699,0,3,1,0,0,0,0,0,0,0,1,0,0,1432206,0.1,4
47,,,2003448600001,3018574908950,0,3,3,0,1,0,0,0,0,0,0,0,0,20034486,0.3,9
48,,,482513,3018574900351,0,5,2,0,0,0,0,0,0,0,1,0,0,482513,0.2,1
49,,,20037602,3018574901844,1,3,3,0,0,0,0,0,1,0,0,0,0,20037602,0.8,2
50,,,20085821,3018574903590,0,2,5,0,1,0,0,0,0,0,0,0,0,20085821,0.5,11
51,,,2006563600002,3018574913508,0,4,1,0,0,0,0,0,1,0,0,0,0,20065636,0.1,2
