"id","label","size","density","avgDistance","diameter","youngestChild","oldestChild","AgeChildren_med","hh_size","children"
0,"10002090",13,0.192307692307692,2.24358974358974,2.6,8,8,8,3,1
1,"10002570",41,0.0560975609756098,2.48170731707317,2.9,12,17,14.5,4,2
2,"10002738",72,0.0312989045383412,2.60446009389671,3,4,7,5.5,4,2
3,"10002760",102,0.021355076684139,2.66724907784896,3,4,10,7,4,2
4,"10002861",42,0.0627177700348432,2.56329849012776,2.9,4,7,5,5,3
5,"1177291",19,0.128654970760234,2.38011695906433,2.8,5,5,5,3,1
6,"119730",58,0.0399274047186933,2.58862673926195,2.8,12,14,13,4,2
7,"120537",105,0.0206959706959707,2.64761904761905,2.9,11,12,11.5,4,2
8,"13427",42,0.0476190476190476,2.6678281068525,3.1,9,12,10.5,4,2
9,"135807",76,0.0291228070175439,2.56456140350877,2.8,12,14,13,4,2
10,"1421646",141,0.0167173252279635,2.74103343465046,3,9,13,11.5,6,4
11,"1432206",90,0.0244694132334582,2.66541822721598,2.8,6,8,7,4,2
12,"1454172",13,0.269230769230769,2.17948717948718,2.1,13,22,17.5,4,2
13,"149733",75,0.0299099099099099,2.57189189189189,2.9,2,5,3.5,4,2
14,"154610",44,0.0549682875264271,2.49154334038055,2.7,2,4,3,4,2
15,"15907",29,0.0911330049261084,2.49753694581281,2.9,12,14,13,4,2
16,"1602823",54,0.0433263452131377,2.42487770789658,2.8,4,10,7,4,2
17,"1676207",42,0.0476190476190476,2.05594405594406,3,6,6,6,3,1
18,"1759211",80,0.0268987341772152,2.66835443037975,3.8,8,10,9,4,2
19,"180147",24,0.115942028985507,2.15579710144928,2.7,11,13,12,4,2
20,"190034",19,0.128654970760234,2.23976608187135,2.9,1,1,1,3,1
21,"20033306",26,0.104615384615385,2.46461538461538,2.5,12,16,14,4,3
22,"20033321",52,0.0414781297134238,2.53393665158371,2.9,0,0,0,3,1
23,"20033323",62,0.0338445267054469,2.49222065063649,2.6,11,15,13,4,2
24,"20033325",150,0.0155704697986577,2.75400447427293,3,10,15,13,6,4
25,"20033326",10,0.4,1.93333333333333,1.7,8,9,8.5,4,2
26,"20033339",16,0.158333333333333,2.3,2.9,11,14,12.5,3,2
27,"20033354",13,0.256410256410256,2.19230769230769,2.9,2,4,3,4,2
28,"20033367",73,0.0308219178082192,2.62290715372907,2.8,11,12,11.5,4,2
29,"20033390",17,0.147058823529412,2.29411764705882,1.8,10,10,10,3,1
30,"20033426",27,0.0997150997150997,2.41595441595442,2.6,11,14,12.5,4,2
31,"20033451",122,0.0185611705730931,2.69760195095516,3,6,11,10,5,3
32,"20033463",59,0.043249561659848,2.64406779661017,2.9,4,13,5,5,3
33,"20033467",14,0.241758241758242,2.20879120879121,1.7,3,5,4,4,2
34,"20033488",38,0.0654338549075391,2.50640113798009,3,2,5,3.5,4,2
35,"20033492",79,0.0301850048685492,2.66796494644596,3,5,9,7,5,3
36,"20033555",32,0.0705645161290323,2.46774193548387,2.8,3,3,3,3,1
37,"20033571",30,0.0873563218390805,2.41609195402299,2.1,10,16,13,4,2
38,"20033614",100,0.0232323232323232,2.68262626262626,2.9,3,12,8,5,3
39,"20033639",57,0.037593984962406,2.52631578947368,3,10,10,10,3,1
40,"20033783",100,0.0218181818181818,2.6640404040404,2.8,2,6,4,4,2
41,"20034297",25,0.08,1.8525641025641,2,7,7,7,3,1
42,"20034484",28,0.0952380952380952,2.42857142857143,2.8,3,5,4,4,2
43,"20034486",67,0.033921302578019,2.62957937584803,2.9,4,10,7,4,2
44,"20034514",45,0.0535353535353535,2.56666666666667,2.8,1,3,2,4,2
45,"20034929",19,0.128654970760234,2.33918128654971,3,1,1,1,3,1
46,"20035014",47,0.0462534690101758,2.51248843663275,3,1,1,1,3,1
47,"20035017",23,0.122529644268775,2.32806324110672,2.4,0,5,2.5,4,2
48,"20035168",31,0.0838709677419355,2.50752688172043,2.4,5,8,6.5,4,2
49,"20035169",79,0.026614735475495,2.59915611814346,2.7,11,11,11,3,1
50,"20035266",21,0.138095238095238,2.38095238095238,3,9,12,10.5,4,2
51,"20035383",102,0.021355076684139,2.6631721995729,2.9,10,12,11,4,2
52,"20035520",35,0.0705882352941176,2.52773109243697,2.7,7,10,8.5,4,2
53,"20035528",30,0.0758620689655173,2.30804597701149,3,1,1,1,3,1
54,"20035532",99,0.0220573077715935,2.5988455988456,2.9,5,8,6.5,4,2
55,"20035539",17,0.147058823529412,2.31617647058824,1.9,2,2,2,3,1
56,"20035818",67,0.033921302578019,2.6318407960199,2.8,6,9,7.5,4,2
57,"20035877",81,0.0296296296296296,2.5466049382716,2.8,8,9,8,5,3
58,"20035966",21,0.114285714285714,2.23809523809524,2.4,5,5,5,3,1
59,"20036338",25,0.11,2.44666666666667,3,1,3,2,4,2
60,"20036340",144,0.0163170163170163,2.74426961926962,3,4,11,7,6,4
61,"20036344",38,0.0540540540540541,2.60597439544808,3.8,10,10,10,3,1
62,"20036372",19,0.157894736842105,2.3625730994152,3,5,6,5.5,4,2
63,"20036548",30,0.0758620689655173,2.45977011494253,2.8,2,2,2,3,1
64,"20037423",82,0.0292080698584764,2.68533574224631,2.9,6,12,10,5,3
65,"20037425",54,0.0391334730957372,2.54303599374022,3,2,6,4,4,2
66,"20037430",47,0.0508788159111933,2.59574468085106,2.9,12,12,12,4,2
67,"20037434",27,0.0997150997150997,2.31908831908832,2.4,0,4,2,4,2
68,"20037559",79,0.0282375851996105,2.59363842908147,2.8,10,13,11.5,4,2
69,"20037602",17,0.147058823529412,2.30882352941176,2.4,11,11,11,3,1
70,"20037838",19,0.152046783625731,2.16959064327485,3,2,3,2.5,4,2
71,"20037844",67,0.033921302578019,2.61329715061058,2.8,4,6,5,4,2
72,"20037957",15,0.142857142857143,2.26666666666667,2.8,0,0,0,2,1
73,"20056001",32,0.094758064516129,2.4133064516129,3,2,6,2,5,3
74,"20056009",44,0.0623678646934461,2.57293868921776,2.8,6,10,9,5,3
75,"20056042",18,0.215686274509804,2.15686274509804,1.6,6,9,6,5,3
76,"20056073",47,0.0573543015726179,2.5254394079556,3,5,13,11,5,3
77,"20056117",29,0.0985221674876847,2.49014778325123,2.6,12,17,15,5,3
78,"20056197",26,0.126153846153846,2.42769230769231,2.9,6,8,6,5,3
79,"20056208",71,0.0317907444668008,2.64265593561368,2.8,11,13,12,4,2
80,"20056222",60,0.0384180790960452,2.62937853107345,3,8,11,9.5,4,2
81,"20056233",26,0.0892307692307692,2.44923076923077,2.3,5,5,5,3,1
82,"20056265",40,0.0615384615384615,2.55641025641026,2.6,5,8,6.5,4,2
83,"20056399",25,0.11,2.45333333333333,2.8,3,4,3.5,4,2
84,"20056407",35,0.0705882352941176,2.28526645768025,2.7,0,18,3,5,3
85,"20056422",106,0.0195867026055705,2.6062893081761,3,7,7,7,3,1
86,"20056424",17,0.183823529411765,2.25,2.4,9,16,12.5,4,2
87,"20056435",31,0.0989247311827957,2.47956989247312,2.6,0,6,4,5,3
88,"20056466",91,0.0239316239316239,2.64249084249084,2.9,11,14,12.5,4,2
89,"20056616",97,0.0259879725085911,2.71477663230241,3,3,9,6.5,6,4
90,"20056800",43,0.0564784053156146,2.55813953488372,3,8,10,9,4,2
91,"20056814",50,0.0514285714285714,2.54367346938775,3,9,14,13,5,3
92,"20056914",83,0.0267411107846018,2.62121657361152,3,10,14,12,4,2
93,"20056985",35,0.0991596638655462,2.21176470588235,2.1,3,12,7,6,4
94,"20057015",135,0.0165837479270315,2.6791597567717,2.8,4,9,7,5,3
95,"20057062",41,0.0597560975609756,2.53414634146341,2.8,10,14,12,4,2
