Id,Label,timeset,hh_id,gender,role,age,hh_size,degree,freq_home,freq_work,freq_school,freq_kindergarden,freq_transport,freq_leisure,freq_grandparents,freq_other,freq_betweenhh,prop_home,prop_work,prop_school,prop_kindergarden,prop_transport,prop_leisure,prop_grandparents,prop_other,diversityloc,diversityhhmember,pers_touch,tot_dur,avg_dur,modularity_class
0,10002090,,10002090,0,mother,40,3,3,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.888889,3,11,3.666667,18
1,1000209000001,,10002090,1,father,40,3,6,4,0,0,0,0,2,0,0,2,0.666667,0,0,0,0,0.333333,0,0,0.507937,0.888889,6,22,3.666667,18
2,1000209000002,,10002090,1,child,8,3,6,4,0,0,0,0,0,4,0,2,0.666667,0,0,0,0,0,0.666667,0,0.571429,0.888889,6,17,2.833333,7
3,10002570,,10002570,1,father,40,4,5,2,2,0,0,1,0,0,0,3,0.4,0.4,0,0,0.2,0,0,0,0.731429,0.96,2,19,3.8,18
4,1000257000001,,10002570,0,mother,37,4,8,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,25,3.125,15
5,1000257000002,,10002570,1,child,17,4,22,3,0,19,0,0,0,0,0,3,0.136364,0,0.863636,0,0,0,0,0,0.269185,0.471074,11,82,3.727273,3
6,1000257000003,,10002570,0,child,12,4,11,3,0,8,0,0,0,0,0,3,0.272727,0,0.727273,0,0,0,0,0,0.453365,0.793388,3,54,4.909091,1
7,10002738,,10002738,1,father,36,4,14,3,10,0,0,2,1,0,0,3,0.214286,0.714286,0,0,0.142857,0.071429,0,0,0.633929,0.673469,3,45,3.214286,15
8,1000273800001,,10002738,0,mother,37,4,11,3,6,1,0,0,1,0,1,3,0.272727,0.545455,0.090909,0,0,0.090909,0,0.090909,0.761905,0.793388,4,31,2.818182,15
9,1000273800002,,10002738,0,child,7,4,28,3,0,16,0,3,0,0,10,3,0.107143,0,0.571429,0,0.107143,0,0,0.357143,0.725446,0.382653,18,128,4.571429,6
10,1000273800003,,10002738,1,child,4,4,27,3,0,25,0,3,0,0,0,3,0.111111,0,0.925926,0,0.111111,0,0,0,0.378177,0.395062,19,96,3.555556,5
11,10002760,,10002760,1,father,31,4,18,4,9,0,0,4,1,0,0,3,0.222222,0.5,0,0,0.222222,0.055556,0,0,0.740741,0.555556,17,69,3.833333,4
12,1000276000002,,10002760,1,child,10,4,30,3,0,24,0,0,0,3,0,3,0.1,0,0.8,0,0,0,0.1,0,0.388571,0.36,28,144,4.8,6
13,1000276000003,,10002760,1,child,4,4,31,3,0,25,0,0,0,3,0,3,0.096774,0,0.806452,0,0,0,0.096774,0,0.378177,0.349636,16,148,4.774194,6
14,10002861,,10002861,1,father,33,5,9,4,4,0,0,4,1,0,0,4,0.444444,0.444444,0,0,0.444444,0.111111,0,0,0.811496,0.987654,5,31,3.444444,15
15,1000286100001,,10002861,0,mother,39,5,11,1,10,0,0,0,0,0,0,1,0.090909,0.909091,0,0,0,0,0,0,0.188902,0.330579,8,36,3.272727,15
16,1000286100002,,10002861,1,child,7,5,14,4,0,8,2,4,0,0,4,4,0.285714,0,0.571429,0.142857,0.285714,0,0,0.285714,0.868949,0.816327,10,47,3.357143,3
